0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.26442,0.51273,0.33819,0.038806,0.3394,0.42049,0.12546,0.55176,0.20168,0.21847,0.3065,0.36186,0.31938,0.28883,0.20528,0.25085,0.62915,0.15068,0.089732,0.61266,0.04126,7.809e-05,0.52795,0.40419,0.19004,0.56197,3.6046e-05,0.21564,0.29366,0.32042,1.4752e-05,0.33835,0.20114,0.28525,0.039641,0.24485,0.25813,0.40307,0.098703,0.373,0.20422
0.1,0.34652,0.53087,0.44243,0.28199,0.51263,0.76529,0.21228,0.69177,0.31117,0.21847,0.44803,0.40809,0.57092,0.62576,3.1417,0.49505,0.63878,0.15068,0.14807,1.5631,0.2768,6.1814e-05,0.51494,0.40394,0.19112,0.65034,0.15312,0.4189,0.61815,0.35267,1.1676e-05,0.60475,1.2632,0.48788,0.20393,0.40431,0.43097,0.56764,0.19809,0.41109,0.26964
0.15,0.43071,0.549,0.56708,0.6275,0.68586,1.1101,0.28651,0.83178,0.42088,0.2253,0.58957,0.43814,0.82249,0.9627,6.0782,0.73925,0.64841,0.29336,0.20644,2.2765,0.45618,0.13587,0.50193,0.40369,0.1922,0.74458,0.41007,0.62216,0.94264,0.38024,0.40553,0.8319,2.432,0.70665,0.36825,0.5647,0.62531,0.6981,0.27441,0.45377,0.33506
0.2,0.52822,0.56714,0.69038,1.0022,0.85909,1.5095,0.33631,0.98508,0.55774,0.2941,0.74431,0.45654,1.0741,1.2996,9.5919,0.98346,0.66087,0.44665,0.26481,2.8016,0.56803,0.37341,0.48891,0.40344,0.19329,0.84046,0.57055,0.82542,1.3039,0.40362,0.85777,0.9938,3.2616,0.9571,0.53267,0.76124,0.79849,0.7996,0.33158,0.49234,0.40439
0.25,0.56741,0.58528,0.76533,1.1684,1.0323,1.8865,0.36758,1.1015,0.62093,0.34341,0.84952,0.46658,1.3256,1.6366,11.249,1.2361,0.66734,0.59994,0.32318,3.1774,0.62988,0.57755,0.47661,0.40319,0.19437,0.88561,0.63343,1.0604,1.6,0.42326,1.1739,1.1063,3.8315,1.1125,0.7077,0.84711,0.88505,0.8766,0.37293,0.5156,0.45573
0.3,0.57035,0.62399,0.80524,1.2072,1.1251,2.1655,0.38491,1.1599,0.63498,0.37735,0.91249,0.47068,1.4794,1.8651,11.425,1.3538,0.66859,0.65289,0.36711,3.4353,0.65529,0.68016,0.47575,0.40299,0.19545,0.9015,0.64091,1.3691,1.7147,0.43956,1.2635,1.1814,4.2033,1.1363,0.77786,0.87273,0.91304,0.93296,0.40129,0.52815,0.47699
0.35,0.55194,0.64994,0.81997,1.1714,1.232,2.3642,0.39186,1.179,0.61944,0.39927,0.9453,0.4706,1.6264,2.2197,10.779,1.3752,0.66722,0.72516,0.42227,3.6005,0.65471,0.71472,0.4699,0.40279,0.19653,0.90076,0.61812,1.605,1.7257,0.45289,1.226,1.2284,4.4249,1.0879,0.78174,0.86621,0.9027,0.97201,0.41906,0.53326,0.53133
0.4,0.52208,0.66914,0.81686,1.0947,1.4056,2.4974,0.39123,1.1717,0.5874,0.41187,0.95679,0.46761,1.5906,2.585,9.7262,1.3357,0.66458,0.87205,0.45942,3.6933,0.63609,0.7052,0.46094,0.4026,0.19761,0.89081,0.57992,1.7797,1.6793,0.46356,1.1229,1.2543,4.5334,1.0043,0.74582,0.84319,0.86844,0.99663,0.42825,0.53331,0.61228
0.45,0.48719,0.67875,0.80132,0.99853,1.6623,2.5777,0.38514,1.1909,0.54744,0.43092,0.95341,0.46264,1.4772,2.7795,8.5198,1.387,0.66136,1.0433,0.4747,3.7297,0.60547,0.66848,0.45809,0.40279,0.19869,0.876,0.53499,1.9876,1.6031,0.47189,0.99185,1.2644,4.5574,0.90788,0.69369,0.81232,0.82042,1.0093,0.43056,0.52997,0.64624
0.5,0.55435,0.68086,0.77737,0.89594,1.8723,2.6154,0.37526,1.1835,0.50503,0.46453,0.93984,0.45637,1.3398,2.8625,7.3091,1.3656,0.6579,1.1966,0.47453,3.7227,0.56738,0.61635,0.47342,0.40397,0.19979,0.85887,0.48831,2.7249,1.5132,0.47815,0.85467,1.2628,4.5191,0.83613,0.78629,0.77834,0.80559,1.0121,0.42742,0.52443,0.6509
