max_bins,interactions,outer_bags,learning_rate,min_samples_leaf,max_leaves,random_state,threshold,train_precision,train_recall,train_f1,train_auc,test_precision,test_recall,test_f1,test_auc
128,0,8,0.01,2,3,42,0.3,0.8506408829235711,0.9846839217996392,0.9127674823384867,0.8979689367604167,0.886084142394822,0.9710597247836572,0.9266278597536213,0.8176115216498345
128,0,8,0.01,2,3,42,0.4,0.8692771680015822,0.9709878134089319,0.9173217391304348,0.8979689367604167,0.8968019349637194,0.9468009646758405,0.9211234559381685,0.8176115216498345
128,0,8,0.01,2,3,42,0.5,0.8886901485965878,0.9512168182320239,0.9188910426262159,0.8979689367604167,0.9081331647703329,0.917151368988509,0.9126199887069453,0.8176115216498345
128,0,8,0.01,2,3,42,0.6,0.9060591827148896,0.9232723390155002,0.9145847769794668,0.8979689367604167,0.9188869153345175,0.8806922967796851,0.8993842810575878,0.8176115216498345
128,0,8,0.01,2,3,42,0.7,0.9243535314550366,0.881779021390965,0.9025644890806656,0.8979689367604167,0.9327811404906021,0.8307561356220741,0.8788174382831845,0.8176115216498345
128,0,8,0.01,2,3,42,0.8,0.9470387489740377,0.80714995765988,0.8715165970979925,0.8979689367604167,0.9457874155705652,0.7548588452262732,0.8396055226824457,0.8176115216498345
128,10,8,0.01,2,3,42,0.3,0.85359477124183,0.9857148116785096,0.914909612821652,0.9030607061579072,0.885684727789991,0.9716271811604483,0.9266675686645921,0.8186344748226486
128,10,8,0.01,2,3,42,0.4,0.872576910353953,0.9711719008873017,0.9192382080814064,0.9030607061579072,0.8980112872883633,0.9480777415236203,0.9223656062383548,0.8186344748226486
128,10,8,0.01,2,3,42,0.5,0.8926005250794529,0.9513272707190457,0.9210287119713415,0.9030607061579072,0.9092827004219409,0.917151368988509,0.913200084751748,0.8186344748226486
128,10,8,0.01,2,3,42,0.6,0.9101916154601316,0.9216523692058466,0.9158861407873555,0.9030607061579072,0.9210565587225787,0.8755851893885658,0.8977454545454545,0.8186344748226486
128,10,8,0.01,2,3,42,0.7,0.9283764815970056,0.8766613894922868,0.9017781060046582,0.9030607061579072,0.9347195357833655,0.8226698822528018,0.8751226137478306,0.8186344748226486
128,10,8,0.01,2,3,42,0.8,0.9502957036006262,0.8045727329627039,0.8713838546962538,0.9030607061579072,0.9474729241877257,0.7446446304440346,0.8339026133926444,0.8186344748226486
128,20,8,0.01,2,3,42,0.3,0.8543673833982007,0.9860093516439011,0.9154801989505529,0.9067861252795534,0.8864549578742709,0.9702085402184707,0.926442698455703,0.8193401484017557
128,20,8,0.01,2,3,42,0.4,0.8750331564986737,0.9716505283310629,0.920814361228869,0.9067861252795534,0.8980608672232696,0.9460916442048517,0.9214507772020726,0.8193401484017557
