seed,model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,n_nodes,n_leaves
2,406,dt_NOF_RFC_FOF_seed2_d3_s100_l50_w0.7.pkl,3,100,50,0.7,0.8752794753316441,0.9423493540881008,0.9075769869788648,0.853495145631068,0.9468978888410168,0.8977736928104575,15,8
2,407,dt_NOF_RFC_FOF_seed2_d3_s100_l50_w0.8.pkl,3,100,50,0.8,0.8752794753316441,0.9423493540881008,0.9075769869788648,0.853495145631068,0.9468978888410168,0.8977736928104575,15,8
2,408,dt_NOF_RFC_FOF_seed2_d3_s100_l50_w0.9.pkl,3,100,50,0.9,0.874539706155849,0.9432720853727032,0.907606492829708,0.8527446993900668,0.9487289961223611,0.8981797787181971,15,8
2,409,dt_NOF_RFC_FOF_seed2_d3_s100_l50_w1.0.pkl,3,100,50,1.0,0.874539706155849,0.9432720853727032,0.907606492829708,0.8527446993900668,0.9487289961223611,0.8981797787181971,15,8
2,410,dt_NOF_RFC_FOF_seed2_d3_s100_l60_w0.6.pkl,3,100,60,0.6,0.878833546831437,0.9358099975928749,0.9064272946296728,0.8576775337338718,0.9379577768203361,0.8960230488244071,15,8
2,411,dt_NOF_RFC_FOF_seed2_d3_s100_l60_w0.7.pkl,3,100,60,0.7,0.8752794753316441,0.9423493540881008,0.9075769869788648,0.853495145631068,0.9468978888410168,0.8977736928104575,15,8
2,412,dt_NOF_RFC_FOF_seed2_d3_s100_l60_w0.8.pkl,3,100,60,0.8,0.8752794753316441,0.9423493540881008,0.9075769869788648,0.853495145631068,0.9468978888410168,0.8977736928104575,15,8
2,413,dt_NOF_RFC_FOF_seed2_d3_s100_l60_w0.9.pkl,3,100,60,0.9,0.874539706155849,0.9432720853727032,0.907606492829708,0.8527446993900668,0.9487289961223611,0.8981797787181971,15,8
2,414,dt_NOF_RFC_FOF_seed2_d3_s100_l60_w1.0.pkl,3,100,60,1.0,0.874539706155849,0.9432720853727032,0.907606492829708,0.8527446993900668,0.9487289961223611,0.8981797787181971,15,8
2,415,dt_NOF_RFC_FOF_seed2_d3_s100_l70_w0.6.pkl,3,100,70,0.6,0.878833546831437,0.9358099975928749,0.9064272946296728,0.8576775337338718,0.9379577768203361,0.8960230488244071,15,8
2,416,dt_NOF_RFC_FOF_seed2_d3_s100_l70_w0.7.pkl,3,100,70,0.7,0.8752794753316441,0.9423493540881008,0.9075769869788648,0.853495145631068,0.9468978888410168,0.8977736928104575,15,8
2,417,dt_NOF_RFC_FOF_seed2_d3_s100_l70_w0.8.pkl,3,100,70,0.8,0.8752794753316441,0.9423493540881008,0.9075769869788648,0.853495145631068,0.9468978888410168,0.8977736928104575,15,8
2,418,dt_NOF_RFC_FOF_seed2_d3_s100_l70_w0.9.pkl,3,100,70,0.9,0.874488657493492,0.9433924416272166,0.9076347074262776,0.8527589545014521,0.9488367083153812,0.8982359539104721,15,8
2,419,dt_NOF_RFC_FOF_seed2_d3_s100_l70_w1.0.pkl,3,100,70,1.0,0.874488657493492,0.9433924416272166,0.9076347074262776,0.8527589545014521,0.9488367083153812,0.8982359539104721,15,8
2,420,dt_NOF_RFC_FOF_seed2_d4_s60_l40_w0.6.pkl,4,60,40,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,31,16
2,421,dt_NOF_RFC_FOF_seed2_d4_s60_l40_w0.7.pkl,4,60,40,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,422,dt_NOF_RFC_FOF_seed2_d4_s60_l40_w0.8.pkl,4,60,40,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,423,dt_NOF_RFC_FOF_seed2_d4_s60_l40_w0.9.pkl,4,60,40,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,424,dt_NOF_RFC_FOF_seed2_d4_s60_l40_w1.0.pkl,4,60,40,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,425,dt_NOF_RFC_FOF_seed2_d4_s60_l50_w0.6.pkl,4,60,50,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,426,dt_NOF_RFC_FOF_seed2_d4_s60_l50_w0.7.pkl,4,60,50,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,427,dt_NOF_RFC_FOF_seed2_d4_s60_l50_w0.8.pkl,4,60,50,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,428,dt_NOF_RFC_FOF_seed2_d4_s60_l50_w0.9.pkl,4,60,50,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,429,dt_NOF_RFC_FOF_seed2_d4_s60_l50_w1.0.pkl,4,60,50,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,430,dt_NOF_RFC_FOF_seed2_d4_s60_l60_w0.6.pkl,4,60,60,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,431,dt_NOF_RFC_FOF_seed2_d4_s60_l60_w0.7.pkl,4,60,60,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,432,dt_NOF_RFC_FOF_seed2_d4_s60_l60_w0.8.pkl,4,60,60,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,433,dt_NOF_RFC_FOF_seed2_d4_s60_l60_w0.9.pkl,4,60,60,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,434,dt_NOF_RFC_FOF_seed2_d4_s60_l60_w1.0.pkl,4,60,60,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,435,dt_NOF_RFC_FOF_seed2_d4_s60_l70_w0.6.pkl,4,60,70,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,436,dt_NOF_RFC_FOF_seed2_d4_s60_l70_w0.7.pkl,4,60,70,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,437,dt_NOF_RFC_FOF_seed2_d4_s60_l70_w0.8.pkl,4,60,70,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,438,dt_NOF_RFC_FOF_seed2_d4_s60_l70_w0.9.pkl,4,60,70,0.9,0.8833440611866268,0.9359704725988928,0.9088961178097669,0.8595334186435672,0.9405428694528221,0.8982152959934167,29,15
2,439,dt_NOF_RFC_FOF_seed2_d4_s60_l70_w1.0.pkl,4,60,70,1.0,0.871585200396025,0.9535826045093476,0.910741996666475,0.8493163782388373,0.9568074105988797,0.8998632426682875,29,15
2,440,dt_NOF_RFC_FOF_seed2_d4_s80_l40_w0.6.pkl,4,80,40,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,31,16
2,441,dt_NOF_RFC_FOF_seed2_d4_s80_l40_w0.7.pkl,4,80,40,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,442,dt_NOF_RFC_FOF_seed2_d4_s80_l40_w0.8.pkl,4,80,40,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,443,dt_NOF_RFC_FOF_seed2_d4_s80_l40_w0.9.pkl,4,80,40,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,444,dt_NOF_RFC_FOF_seed2_d4_s80_l40_w1.0.pkl,4,80,40,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,445,dt_NOF_RFC_FOF_seed2_d4_s80_l50_w0.6.pkl,4,80,50,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,446,dt_NOF_RFC_FOF_seed2_d4_s80_l50_w0.7.pkl,4,80,50,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,447,dt_NOF_RFC_FOF_seed2_d4_s80_l50_w0.8.pkl,4,80,50,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,448,dt_NOF_RFC_FOF_seed2_d4_s80_l50_w0.9.pkl,4,80,50,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,449,dt_NOF_RFC_FOF_seed2_d4_s80_l50_w1.0.pkl,4,80,50,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,450,dt_NOF_RFC_FOF_seed2_d4_s80_l60_w0.6.pkl,4,80,60,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,451,dt_NOF_RFC_FOF_seed2_d4_s80_l60_w0.7.pkl,4,80,60,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,452,dt_NOF_RFC_FOF_seed2_d4_s80_l60_w0.8.pkl,4,80,60,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,453,dt_NOF_RFC_FOF_seed2_d4_s80_l60_w0.9.pkl,4,80,60,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,454,dt_NOF_RFC_FOF_seed2_d4_s80_l60_w1.0.pkl,4,80,60,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,455,dt_NOF_RFC_FOF_seed2_d4_s80_l70_w0.6.pkl,4,80,70,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,456,dt_NOF_RFC_FOF_seed2_d4_s80_l70_w0.7.pkl,4,80,70,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,457,dt_NOF_RFC_FOF_seed2_d4_s80_l70_w0.8.pkl,4,80,70,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,458,dt_NOF_RFC_FOF_seed2_d4_s80_l70_w0.9.pkl,4,80,70,0.9,0.8833440611866268,0.9359704725988928,0.9088961178097669,0.8595334186435672,0.9405428694528221,0.8982152959934167,29,15
2,459,dt_NOF_RFC_FOF_seed2_d4_s80_l70_w1.0.pkl,4,80,70,1.0,0.871585200396025,0.9535826045093476,0.910741996666475,0.8493163782388373,0.9568074105988797,0.8998632426682875,29,15
2,460,dt_NOF_RFC_FOF_seed2_d4_s100_l40_w0.6.pkl,4,100,40,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,461,dt_NOF_RFC_FOF_seed2_d4_s100_l40_w0.7.pkl,4,100,40,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,462,dt_NOF_RFC_FOF_seed2_d4_s100_l40_w0.8.pkl,4,100,40,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,463,dt_NOF_RFC_FOF_seed2_d4_s100_l40_w0.9.pkl,4,100,40,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,464,dt_NOF_RFC_FOF_seed2_d4_s100_l40_w1.0.pkl,4,100,40,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,465,dt_NOF_RFC_FOF_seed2_d4_s100_l50_w0.6.pkl,4,100,50,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,466,dt_NOF_RFC_FOF_seed2_d4_s100_l50_w0.7.pkl,4,100,50,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,467,dt_NOF_RFC_FOF_seed2_d4_s100_l50_w0.8.pkl,4,100,50,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,468,dt_NOF_RFC_FOF_seed2_d4_s100_l50_w0.9.pkl,4,100,50,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,469,dt_NOF_RFC_FOF_seed2_d4_s100_l50_w1.0.pkl,4,100,50,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,470,dt_NOF_RFC_FOF_seed2_d4_s100_l60_w0.6.pkl,4,100,60,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,471,dt_NOF_RFC_FOF_seed2_d4_s100_l60_w0.7.pkl,4,100,60,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,472,dt_NOF_RFC_FOF_seed2_d4_s100_l60_w0.8.pkl,4,100,60,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
2,473,dt_NOF_RFC_FOF_seed2_d4_s100_l60_w0.9.pkl,4,100,60,0.9,0.8833977126410665,0.9358501163443793,0.9088677627990337,0.859519590470565,0.9404351572598018,0.8981586256557967,29,15
2,474,dt_NOF_RFC_FOF_seed2_d4_s100_l60_w1.0.pkl,4,100,60,1.0,0.8716350033008142,0.9534622482548343,0.9107142857142857,0.8493019697838975,0.9566996984058596,0.8998075169688988,29,15
2,475,dt_NOF_RFC_FOF_seed2_d4_s100_l70_w0.6.pkl,4,100,70,0.6,0.8922047952438691,0.9151488405680815,0.9035311825401541,0.8685720139315714,0.9132916846186988,0.8903706815079282,29,15
2,476,dt_NOF_RFC_FOF_seed2_d4_s100_l70_w0.7.pkl,4,100,70,0.7,0.8893918291550603,0.9222899783358742,0.9055422066411943,0.8640747438215792,0.9264325721671693,0.8941677929098659,29,15
2,477,dt_NOF_RFC_FOF_seed2_d4_s100_l70_w0.8.pkl,4,100,70,0.8,0.8838293838862559,0.9352082163203081,0.9087932009122629,0.8590689892727094,0.9402197328737613,0.8978143481614811,29,15
