model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1
553,dt_NOF_RFC_d6_s80_l30_w0.6.pkl,6,80,30,0.6,0.9053548239248339,0.9309559343335166,0.9179769189063589,0.893859184753838,0.9346803210628287,0.9138140982275741
554,dt_NOF_RFC_d6_s80_l30_w0.7.pkl,6,80,30,0.7,0.9020704246637449,0.9377110988924672,0.9195455420758714,0.890192459794358,0.9345419319125381,0.9118282473669997
555,dt_NOF_RFC_d6_s80_l30_w0.8.pkl,6,80,30,0.8,0.8994826034793041,0.9422276333359516,0.9203590746921395,0.8880167451596023,0.9393855521727097,0.9129791526563551
556,dt_NOF_RFC_d6_s80_l30_w0.9.pkl,6,80,30,0.9,0.8937599173401233,0.9512214280103684,0.9215958600483248,0.8847879020889402,0.9554386936064213,0.9187570696653137
557,dt_NOF_RFC_d6_s80_l30_w1.0.pkl,6,80,30,1.0,0.8793078945498473,0.9719974864503966,0.9233323384569467,0.8710552268244576,0.9778577359535012,0.9213717564219586
558,dt_NOF_RFC_d6_s80_l40_w0.2.pkl,6,80,40,0.2,0.9563967650784371,0.7709920666090645,0.853744455075237,0.9341919548341566,0.7327705507888181,0.821312238250349
559,dt_NOF_RFC_d6_s80_l40_w0.3.pkl,6,80,40,0.3,0.9348645869043538,0.8568062210352683,0.8941350055330136,0.9147649992443706,0.837669526709106,0.8745214187676081
560,dt_NOF_RFC_d6_s80_l40_w0.4.pkl,6,80,40,0.4,0.9174286284687563,0.9024035818081847,0.9098540796325262,0.9042214532871973,0.9040963188486023,0.904158881738288
561,dt_NOF_RFC_d6_s80_l40_w0.5.pkl,6,80,40,0.5,0.9107289107289107,0.9171314115151992,0.9139189480069663,0.8983921091744359,0.9201494602823138,0.9091406303411499
562,dt_NOF_RFC_d6_s80_l40_w0.6.pkl,6,80,40,0.6,0.9056524399571669,0.9300526274448198,0.9176903700833172,0.894332627118644,0.9346803210628287,0.9140614426850724
563,dt_NOF_RFC_d6_s80_l40_w0.7.pkl,6,80,40,0.7,0.9027988470873787,0.9349226298012725,0.9185799729886166,0.8916633637204386,0.9339883753113756,0.9123352483947279
564,dt_NOF_RFC_d6_s80_l40_w0.8.pkl,6,80,40,0.8,0.895017398386022,0.9495719110831827,0.9214879182864547,0.8827399380804953,0.9469969554386936,0.9137401522232608
565,dt_NOF_RFC_d6_s80_l40_w0.9.pkl,6,80,40,0.9,0.88888080337651,0.9594690126462965,0.9228270313149246,0.8788988508650082,0.9631884860226958,0.9191152195444041
566,dt_NOF_RFC_d6_s80_l40_w1.0.pkl,6,80,40,1.0,0.8794084186575654,0.9714869216872202,0.9231573054674379,0.8714532445102393,0.97758095765292,0.9214714322984607
567,dt_NOF_RFC_d6_s80_l50_w0.2.pkl,6,80,50,0.2,0.9564623194064819,0.7696174691697432,0.8529270946681176,0.934394341290893,0.7312482701356213,0.8204331961804208
568,dt_NOF_RFC_d6_s80_l50_w0.3.pkl,6,80,50,0.3,0.9357687502692457,0.8531144450553766,0.8925321006676938,0.9151616330247382,0.8344865762524218,0.8729641693811075
569,dt_NOF_RFC_d6_s80_l50_w0.4.pkl,6,80,50,0.4,0.9174286284687563,0.9024035818081847,0.9098540796325262,0.9042214532871973,0.9040963188486023,0.904158881738288
570,dt_NOF_RFC_d6_s80_l50_w0.5.pkl,6,80,50,0.5,0.9107867624102404,0.9165815725394706,0.9136749794464237,0.8984723536568879,0.919734292831442,0.9089790056759899
571,dt_NOF_RFC_d6_s80_l50_w0.6.pkl,6,80,50,0.6,0.9073568434411414,0.9266357709527924,0.9168949771689497,0.8955005324813632,0.930943814004982,0.9128782738499118
572,dt_NOF_RFC_d6_s80_l50_w0.7.pkl,6,80,50,0.7,0.9025211992731678,0.9363365014531458,0.9191179305293188,0.8916314677930306,0.9348187102131192,0.9127144980408053
573,dt_NOF_RFC_d6_s80_l50_w0.8.pkl,6,80,50,0.8,0.9004288293710503,0.9401068258581415,0.9198401414133651,0.8901415836392239,0.9396623304732908,0.9142318567389256
574,dt_NOF_RFC_d6_s80_l50_w0.9.pkl,6,80,50,0.9,0.8944409512889744,0.949768282145943,0.9212746909464942,0.886337395766517,0.9561306393578743,0.9199121230277612
575,dt_NOF_RFC_d6_s80_l50_w1.0.pkl,6,80,50,1.0,0.8799814808219666,0.9704265179483151,0.9229935936945518,0.8721906643615708,0.9774425685026293,0.921821978595667
576,dt_NOF_RFC_d6_s80_l60_w0.2.pkl,6,80,60,0.2,0.9568610129564193,0.7657293221270913,0.8506915659496488,0.935950044603033,0.725989482424578,0.817707115579456
577,dt_NOF_RFC_d6_s80_l60_w0.3.pkl,6,80,60,0.3,0.9357687502692457,0.8531144450553766,0.8925321006676938,0.9151616330247382,0.8344865762524218,0.8729641693811075
578,dt_NOF_RFC_d6_s80_l60_w0.4.pkl,6,80,60,0.4,0.9176898772147343,0.9011468070065195,0.9093431090855048,0.9044382801664355,0.9024356490451149,0.9034358548074258
579,dt_NOF_RFC_d6_s80_l60_w0.5.pkl,6,80,60,0.5,0.9110199296600234,0.9155997172256696,0.913304082112356,0.8986193827828912,0.9187655687794077,0.9085808129191186
580,dt_NOF_RFC_d6_s80_l60_w0.6.pkl,6,80,60,0.6,0.9058584620100387,0.9285209331552903,0.9170497081127209,0.8941223298394587,0.9326044838084694,0.9129580708528077
581,dt_NOF_RFC_d6_s80_l60_w0.7.pkl,6,80,60,0.7,0.9014270613107822,0.9377503731050193,0.9192300288739172,0.8906887923087053,0.9359258234154443,0.9127471489304272
582,dt_NOF_RFC_d6_s80_l60_w0.8.pkl,6,80,60,0.8,0.8993434627649597,0.9414814232974629,0.9199301571464206,0.8892086330935252,0.9407694436756159,0.9142626588662498
583,dt_NOF_RFC_d6_s80_l60_w0.9.pkl,6,80,60,0.9,0.8943359952676723,0.9500432016338073,0.9213483146067416,0.8862644415917843,0.9554386936064213,0.9195524773574854
584,dt_NOF_RFC_d6_s80_l60_w1.0.pkl,6,80,60,1.0,0.8804878918649025,0.9696017594847224,0.9228986374086465,0.8719723183391004,0.976473844450595,0.9212690951821386
585,dt_NOF_RFC_d6_s100_l20_w0.2.pkl,6,100,20,0.2,0.956695601287428,0.770481501845888,0.8535502958579881,0.9344754503708936,0.7322169941876557,0.8210738671632526
586,dt_NOF_RFC_d6_s100_l20_w0.3.pkl,6,100,20,0.3,0.9359965450226733,0.8511900086403268,0.8915811341711747,0.9153729071537291,0.832272349847772,0.8718469121484488
587,dt_NOF_RFC_d6_s100_l20_w0.4.pkl,6,100,20,0.4,0.9171290567242825,0.9023250333830807,0.9096668184427771,0.9047288864235197,0.9028508164959868,0.9037888758052227
588,dt_NOF_RFC_d6_s100_l20_w0.5.pkl,6,100,20,0.5,0.9089958564070789,0.9218835912339958,0.9153943648240226,0.8962783823726992,0.9231940215887074,0.9095371190946895
589,dt_NOF_RFC_d6_s100_l20_w0.6.pkl,6,100,20,0.6,0.904703865930299,0.9328803707485664,0.9185760968346965,0.8926121372031662,0.9363409908663161,0.9139538025124949
590,dt_NOF_RFC_d6_s100_l20_w0.7.pkl,6,100,20,0.7,0.9017766210252348,0.9389285994815804,0.9199776807188348,0.8896197868701486,0.9357874342651537,0.9121197814797329
591,dt_NOF_RFC_d6_s100_l20_w0.8.pkl,6,100,20,0.8,0.8995652825663318,0.9427381980991281,0.9206458788785333,0.8880324013587667,0.9406310545253252,0.9135752688172043
592,dt_NOF_RFC_d6_s100_l20_w0.9.pkl,6,100,20,0.9,0.8940820319710562,0.9511428795852643,0.9217301946754458,0.8850147416997821,0.9554386936064213,0.918879350502429
593,dt_NOF_RFC_d6_s100_l20_w1.0.pkl,6,100,20,1.0,0.8796118575389209,0.9719189380252926,0.9234644376446003,0.8712700369913687,0.9778577359535012,0.9214919144496609
594,dt_NOF_RFC_d6_s100_l30_w0.2.pkl,6,100,30,0.2,0.9567190397189421,0.7700494855078156,0.8532944555661938,0.9344059405940595,0.731386659285912,0.8205247632355225
595,dt_NOF_RFC_d6_s100_l30_w0.3.pkl,6,100,30,0.3,0.9359461325966851,0.8516220249783992,0.8917951881554596,0.9152336021914472,0.832272349847772,0.8717837210987895
596,dt_NOF_RFC_d6_s100_l30_w0.4.pkl,6,100,30,0.4,0.9166932017194714,0.9045243892859948,0.9105681413829914,0.9039337474120083,0.9063105452532522,0.9051205859995853
597,dt_NOF_RFC_d6_s100_l30_w0.5.pkl,6,100,30,0.5,0.9103048234515514,0.9183489121043124,0.9143091751549395,0.8977855792600594,0.9201494602823138,0.90882996172772
598,dt_NOF_RFC_d6_s100_l30_w0.6.pkl,6,100,30,0.6,0.9053548239248339,0.9309559343335166,0.9179769189063589,0.893859184753838,0.9346803210628287,0.9138140982275741
599,dt_NOF_RFC_d6_s100_l30_w0.7.pkl,6,100,30,0.7,0.9020704246637449,0.9377110988924672,0.9195455420758714,0.890192459794358,0.9345419319125381,0.9118282473669997
600,dt_NOF_RFC_d6_s100_l30_w0.8.pkl,6,100,30,0.8,0.8994826034793041,0.9422276333359516,0.9203590746921395,0.8880167451596023,0.9393855521727097,0.9129791526563551
601,dt_NOF_RFC_d6_s100_l30_w0.9.pkl,6,100,30,0.9,0.8937599173401233,0.9512214280103684,0.9215958600483248,0.8847879020889402,0.9554386936064213,0.9187570696653137
602,dt_NOF_RFC_d6_s100_l30_w1.0.pkl,6,100,30,1.0,0.8793078945498473,0.9719974864503966,0.9233323384569467,0.8710552268244576,0.9778577359535012,0.9213717564219586
603,dt_NOF_RFC_d6_s100_l40_w0.2.pkl,6,100,40,0.2,0.9563967650784371,0.7709920666090645,0.853744455075237,0.9341919548341566,0.7327705507888181,0.821312238250349
604,dt_NOF_RFC_d6_s100_l40_w0.3.pkl,6,100,40,0.3,0.9351943311144514,0.8552352525331867,0.8934293392413892,0.9150643451930356,0.8364240243564904,0.8739787434025016
605,dt_NOF_RFC_d6_s100_l40_w0.4.pkl,6,100,40,0.4,0.9174286284687563,0.9024035818081847,0.9098540796325262,0.9042214532871973,0.9040963188486023,0.904158881738288
606,dt_NOF_RFC_d6_s100_l40_w0.5.pkl,6,100,40,0.5,0.9107289107289107,0.9171314115151992,0.9139189480069663,0.8983921091744359,0.9201494602823138,0.9091406303411499
607,dt_NOF_RFC_d6_s100_l40_w0.6.pkl,6,100,40,0.6,0.9056524399571669,0.9300526274448198,0.9176903700833172,0.894332627118644,0.9346803210628287,0.9140614426850724
608,dt_NOF_RFC_d6_s100_l40_w0.7.pkl,6,100,40,0.7,0.9027988470873787,0.9349226298012725,0.9185799729886166,0.8916633637204386,0.9339883753113756,0.9123352483947279
609,dt_NOF_RFC_d6_s100_l40_w0.8.pkl,6,100,40,0.8,0.895017398386022,0.9495719110831827,0.9214879182864547,0.8827399380804953,0.9469969554386936,0.9137401522232608
610,dt_NOF_RFC_d6_s100_l40_w0.9.pkl,6,100,40,0.9,0.88888080337651,0.9594690126462965,0.9228270313149246,0.8788988508650082,0.9631884860226958,0.9191152195444041
611,dt_NOF_RFC_d6_s100_l40_w1.0.pkl,6,100,40,1.0,0.8794084186575654,0.9714869216872202,0.9231573054674379,0.8714532445102393,0.97758095765292,0.9214714322984607
612,dt_NOF_RFC_d6_s100_l50_w0.2.pkl,6,100,50,0.2,0.9564623194064819,0.7696174691697432,0.8529270946681176,0.934394341290893,0.7312482701356213,0.8204331961804208
613,dt_NOF_RFC_d6_s100_l50_w0.3.pkl,6,100,50,0.3,0.9357687502692457,0.8531144450553766,0.8925321006676938,0.9151616330247382,0.8344865762524218,0.8729641693811075
614,dt_NOF_RFC_d6_s100_l50_w0.4.pkl,6,100,50,0.4,0.9174286284687563,0.9024035818081847,0.9098540796325262,0.9042214532871973,0.9040963188486023,0.904158881738288
615,dt_NOF_RFC_d6_s100_l50_w0.5.pkl,6,100,50,0.5,0.9107867624102404,0.9165815725394706,0.9136749794464237,0.8984723536568879,0.919734292831442,0.9089790056759899
616,dt_NOF_RFC_d6_s100_l50_w0.6.pkl,6,100,50,0.6,0.9073568434411414,0.9266357709527924,0.9168949771689497,0.8955005324813632,0.930943814004982,0.9128782738499118
617,dt_NOF_RFC_d6_s100_l50_w0.7.pkl,6,100,50,0.7,0.9025211992731678,0.9363365014531458,0.9191179305293188,0.8916314677930306,0.9348187102131192,0.9127144980408053
618,dt_NOF_RFC_d6_s100_l50_w0.8.pkl,6,100,50,0.8,0.9004288293710503,0.9401068258581415,0.9198401414133651,0.8901415836392239,0.9396623304732908,0.9142318567389256
619,dt_NOF_RFC_d6_s100_l50_w0.9.pkl,6,100,50,0.9,0.8944409512889744,0.949768282145943,0.9212746909464942,0.886337395766517,0.9561306393578743,0.9199121230277612
620,dt_NOF_RFC_d6_s100_l50_w1.0.pkl,6,100,50,1.0,0.8799814808219666,0.9704265179483151,0.9229935936945518,0.8721906643615708,0.9774425685026293,0.921821978595667
621,dt_NOF_RFC_d6_s100_l60_w0.2.pkl,6,100,60,0.2,0.9568610129564193,0.7657293221270913,0.8506915659496488,0.935950044603033,0.725989482424578,0.817707115579456
