seed,model_id,model_file,max_depth,min_samples_split,min_samples_leaf,class_weight_factor,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,n_nodes,n_leaves
0,0,dt_seed0_d3_s60_l40_w0.6.pkl,3,60,40,0.6,0.8019679874048806,0.9130642607474682,0.8539178296522918,0.8404228329809725,0.8686303644786295,0.8542938193071434,15,8
0,1,dt_seed0_d3_s60_l40_w0.7.pkl,3,60,40,0.7,0.8044876950297571,0.8965136079825531,0.8480113034263511,0.8458119658119658,0.8649593566995892,0.8552785100038892,15,8
0,2,dt_seed0_d3_s60_l40_w0.8.pkl,3,60,40,0.8,0.8044876950297571,0.8965136079825531,0.8480113034263511,0.8458119658119658,0.8649593566995892,0.8552785100038892,15,8
0,3,dt_seed0_d3_s60_l40_w0.9.pkl,3,60,40,0.9,0.7894216133942161,0.9296746631613539,0.853826842083602,0.8305626598465473,0.9083122104711127,0.8676992443535256,15,8
0,4,dt_seed0_d3_s60_l40_w1.0.pkl,3,60,40,1.0,0.7894216133942161,0.9296746631613539,0.853826842083602,0.8305626598465473,0.9083122104711127,0.8676992443535256,15,8
0,5,dt_seed0_d3_s60_l50_w0.6.pkl,3,60,50,0.6,0.8019679874048806,0.9130642607474682,0.8539178296522918,0.8404228329809725,0.8686303644786295,0.8542938193071434,15,8
0,6,dt_seed0_d3_s60_l50_w0.7.pkl,3,60,50,0.7,0.8044876950297571,0.8965136079825531,0.8480113034263511,0.8458119658119658,0.8649593566995892,0.8552785100038892,15,8
0,7,dt_seed0_d3_s60_l50_w0.8.pkl,3,60,50,0.8,0.8044876950297571,0.8965136079825531,0.8480113034263511,0.8458119658119658,0.8649593566995892,0.8552785100038892,15,8
0,8,dt_seed0_d3_s60_l50_w0.9.pkl,3,60,50,0.9,0.7894216133942161,0.9296746631613539,0.853826842083602,0.8305626598465473,0.9083122104711127,0.8676992443535256,15,8
0,9,dt_seed0_d3_s60_l50_w1.0.pkl,3,60,50,1.0,0.7894216133942161,0.9296746631613539,0.853826842083602,0.8305626598465473,0.9083122104711127,0.8676992443535256,15,8
0,10,dt_seed0_d3_s60_l60_w0.6.pkl,3,60,60,0.6,0.8019679874048806,0.9130642607474682,0.8539178296522918,0.8404228329809725,0.8686303644786295,0.8542938193071434,15,8
0,11,dt_seed0_d3_s60_l60_w0.7.pkl,3,60,60,0.7,0.8044876950297571,0.8965136079825531,0.8480113034263511,0.8458119658119658,0.8649593566995892,0.8552785100038892,15,8
0,12,dt_seed0_d3_s60_l60_w0.8.pkl,3,60,60,0.8,0.8044876950297571,0.8965136079825531,0.8480113034263511,0.8458119658119658,0.8649593566995892,0.8552785100038892,15,8
0,13,dt_seed0_d3_s60_l60_w0.9.pkl,3,60,60,0.9,0.7894216133942161,0.9296746631613539,0.853826842083602,0.8305626598465473,0.9083122104711127,0.8676992443535256,15,8
