max_depth,min_samples_split,min_samples_leaf,class_weight_factor,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
4,40,20,0.8,0.8599441848016882,0.03559775948486903,0.9600162817445277,0.020821114987841612,0.906360343299338,0.011355549884753516
4,40,20,1.0,0.8410899953632679,0.027245589569067134,0.9510887496804611,0.019601866084967192,0.8922948540441653,0.015558951527026391
4,40,20,1.2,0.8418835938079225,0.027033676843947523,0.9693381263763626,0.020358512083976887,0.9006448269610314,0.013280917397006115
4,40,20,1.5,0.8432220590178746,0.044141419515281444,0.9761405442345716,0.0029269956694580653,0.904243301671059,0.02653166187369077
4,40,20,2.0,0.847041581857168,0.004954141582540498,0.9883578849785858,0.0022087490226234195,0.912245402514641,0.00212207271869558
4,40,25,0.8,0.8821037724678497,0.02864135131711778,0.9112097579964037,0.0259381130854351,0.8961636805782988,0.023047381703682514
4,40,25,1.0,0.8729656323310501,0.03491767317276229,0.9497232002632785,0.016029128382562322,0.9091237530349675,0.01539534091898214
4,40,25,1.2,0.8652301905612073,0.020245948998474064,0.972184375866297,0.013233184841735522,0.9153312499369616,0.00866169560153262
4,40,25,1.5,0.8697825232745653,0.01580684877102734,0.9858201726169589,0.008897558716571259,0.9240070369573243,0.005516910972509883
4,40,25,2.0,0.8420994613648349,0.039832034603341844,0.9899077126264056,0.007779054737538118,0.9093776025463466,0.020372460161580012
4,40,30,0.8,0.8545698908532936,0.016665800231299856,0.9506534897964064,0.02979266137217553,0.8995023568266559,0.006723433249734834
4,40,30,1.0,0.8573172521035125,0.01985397583391933,0.9708532354176462,0.013147382185396675,0.9102609531646665,0.006164236442143752
4,40,30,1.2,0.7960862877147755,0.03316281706686322,0.9852037859404404,0.007074357284800534,0.8802498151153234,0.020852507907047017
4,40,30,1.5,0.8544695586291639,0.03162045617245814,0.9847507822173012,0.006824449920047643,0.9145627633615899,0.01502723862745364
4,40,30,2.0,0.8440350643103595,0.018208902405957954,0.9855336648509603,0.007868711263995297,0.9091488322594704,0.009252878023544684
4,40,40,0.8,0.8722946908653325,0.015587967892040318,0.9642904753681482,0.012724903737892418,0.9157681872121093,0.0028885833576812407
4,40,40,1.0,0.8393342131400843,0.057614061788097054,0.9472924179353184,0.01563084747259118,0.8887124294662948,0.028622217437890903
4,40,40,1.2,0.8094709269734555,0.016475459594781857,0.9606588743381675,0.020104454340601145,0.8782650710542302,0.004825442077519059
4,40,40,1.5,0.8660168391634481,0.023093123382810374,0.9780427651979146,0.010408935269877864,0.9185413782377552,0.016883239693285028
4,40,40,2.0,0.8429196664971924,0.00871080590761344,0.9864489146261688,0.007030171417235115,0.9089968273854435,0.0038580649818620613
4,50,20,0.8,0.8744850153663354,0.039076867628949366,0.9201438756998277,0.007269683767438934,0.8961511858183809,0.017581517258162295
4,50,20,1.0,0.8391717875286867,0.041976919417025575,0.9516390827147582,0.020914064675212805,0.8909602986113015,0.02139018402881697
4,50,20,1.2,0.8305072202376268,0.014345619372735322,0.9823364563606938,0.008260453379005127,0.9000449662379562,0.011846053659639188
4,50,20,1.5,0.8428845437251731,0.018359571394783177,0.9845033761161548,0.0053635553124671016,0.9080701512079842,0.009847401369098565
4,50,20,2.0,0.8438363133392759,0.039276721049201616,0.9871456071617697,0.008308408188195704,0.9092094843187376,0.019006179261396423
4,50,25,0.8,0.8870455763671123,0.022361619905131844,0.9576616064041231,0.0131922519043678,0.9207735040540909,0.012228388360072819
4,50,25,1.0,0.8488796636900887,0.006618560235925854,0.9747550428148953,0.011733950779509495,0.9074042969600927,0.0045304945735315915
4,50,25,1.2,0.8546013567161391,0.01872393705838923,0.9813775390007184,0.007632045400550056,0.9134154488318623,0.007429232851899279
4,50,25,1.5,0.8882148399449225,0.03787112765699433,0.9773203924072348,0.011823951034310429,0.9299961728841519,0.017177668068057837
4,50,25,2.0,0.8780714894979944,0.013743945445960814,0.9837552744959982,0.012575273135927784,0.9278930208355662,0.012565845095842826
4,50,30,0.8,0.9073975117055149,0.025791207807620196,0.9483302962719377,0.015964223159462703,0.9269364302805089,0.006128038000593068
4,50,30,1.0,0.7994885015072194,0.003890916578189081,0.9793285716516856,0.0016691517827932005,0.8803089220757929,0.0018716882057879611
4,50,30,1.2,0.8305644155109677,0.05044576622442575,0.9644235072967057,0.027880209808689098,0.890830606461075,0.019163312361488587
4,50,30,1.5,0.8441528588416354,0.016433324171579534,0.9864282426670292,0.004485232138883729,0.9097103323958725,0.011465507167666455
4,50,30,2.0,0.84785029161461,0.0074458748390728155,0.9852801479183823,0.0067634156188578895,0.9113609699319687,0.0021739788087583715
4,50,40,0.8,0.8409947821480207,0.03235705404143406,0.9364117935487742,0.013292858795962904,0.8856106650796322,0.015185900686898868
4,50,40,1.0,0.8340245751407496,0.022253780580383926,0.9664164528891126,0.01074683387491799,0.8950683654430849,0.009941085872626515
4,50,40,1.2,0.8551608421451081,0.018350438191711855,0.9631621780566642,0.00943746528265164,0.9058172661320646,0.010547173974752414
4,50,40,1.5,0.8201094662796796,0.026756601902767147,0.98729377530514,0.002408627301230451,0.8957510200429623,0.01655773660156806
