threshold,precision,precision_std,recall,recall_std,f1,f1_std
0.1,0.8495840500719589,0.0327196164364593,0.9832716790736755,0.009154000555169722,0.9111860260813917,0.017612584200840487
0.15000000000000002,0.8602661847654087,0.033093247418494134,0.9691284915416383,0.011616009887884585,0.9110124789720324,0.015469574288036072
0.20000000000000004,0.8788256140519529,0.03269086523112501,0.9346488990361808,0.014624812201602272,0.905373068244498,0.012804540051215839
0.25000000000000006,0.8844569581774433,0.029784870429874735,0.9206899921179195,0.01613970120993784,0.901819720701544,0.013860713516852015
0.30000000000000004,0.8946600266219475,0.03042836320964555,0.8874182114475504,0.029553410863487495,0.8903208952398657,0.014303689832321336
0.3500000000000001,0.898498983325952,0.02969645306201726,0.8728120491864626,0.028630113369485153,0.8848007553514773,0.014000923742302973
0.40000000000000013,0.9080751240673054,0.027969028606734277,0.8394676847066392,0.027905933668652714,0.8718689348827173,0.01527661764765026
0.45000000000000007,0.9115760378137926,0.027561376022320266,0.8114732719283815,0.03174686066426485,0.857925098664078,0.016100610973424443
0.5000000000000001,0.9190176864780227,0.023137963790945855,0.778136077778783,0.03218771112788734,0.8423531028224291,0.02239300529859562
0.5500000000000002,0.9270259332689985,0.025920192332737624,0.7024163338286217,0.04661613288470452,0.7978403746965701,0.023444788236063482
0.6000000000000002,0.9314398129983423,0.022632065851591113,0.6619756880406094,0.053288556176885,0.7724655894488712,0.03465609273272281
0.6500000000000001,0.9379627524566716,0.021366079302728054,0.5905878844983573,0.05898108388421029,0.7231019041812768,0.041393889282793805
0.7000000000000002,0.9449001932377378,0.018083635747573115,0.5313749568893154,0.03755768054469042,0.6795463140683214,0.03189015324243764
0.7500000000000002,0.9473228823608848,0.017156890718916917,0.4316243194114563,0.08338817951234734,0.5886992758699754,0.07779556064267142
0.8000000000000002,0.951208680209341,0.017694543067037386,0.38505801481209734,0.11448100069068773,0.5385779050589835,0.1187755619019846
0.8500000000000002,0.8833233478525798,0.13361753579280175,0.08491750389536704,0.13959345355402533,0.1313192097357833,0.2083966551884993
0.9000000000000002,0.6853851452497992,0.38235725460188,0.0025085396384465965,0.0028874038250297006,0.0049815219020956205,0.005692428888317518
