max_bins,interactions,outer_bags,learning_rate,min_samples_leaf,max_leaves,random_state,threshold,train_precision,train_recall,train_f1,train_auc,test_precision,test_recall,test_f1,test_auc
128,0,8,0.01,2,3,42,0.3,0.8508398015014633,0.9847575567909871,0.9129136303906343,0.8981743844032248,0.8861546431809351,0.970634132501064,0.9264725795531483,0.8175343291050053
128,0,8,0.01,2,3,42,0.4,0.869231276371308,0.9708405434262362,0.917230464198132,0.8981743844032248,0.8970291705874446,0.9466591005816428,0.9211761457758144,0.8175343291050053
128,0,8,0.01,2,3,42,0.5,0.8887512899896801,0.9512168182320239,0.9189237253472284,0.8981743844032248,0.907763582760073,0.9172932330827067,0.9125035280835451,0.8175343291050053
128,0,8,0.01,2,3,42,0.6,0.9061935390619353,0.9233091565111741,0.9146712865870338,0.8981743844032248,0.9188027855978663,0.8796992481203008,0.8988259167995362,0.8175343291050053
128,0,8,0.01,2,3,42,0.7,0.9245501583133833,0.8815581164169213,0.902542452741288,0.8981743844032248,0.9325163138628044,0.8311817279046674,0.8789378937893789,0.8175343291050053
128,0,8,0.01,2,3,42,0.8,0.9470956596847333,0.8074076801295976,0.8716909134271404,0.8981743844032248,0.9461237553342816,0.7548588452262732,0.8397380257239802,0.8175343291050053
128,10,8,0.01,2,3,42,0.3,0.8530555024533232,0.9857516291741836,0.9146156079730815,0.9025003467784831,0.886084142394822,0.9710597247836572,0.9266278597536213,0.8185781911246078
128,10,8,0.01,2,3,42,0.4,0.87231156111442,0.9706196384521925,0.9188435599393548,0.9025003467784831,0.8977425423273314,0.9477940133352248,0.9220895728383134,0.8185781911246078
128,10,8,0.01,2,3,42,0.5,0.8916361627184198,0.9506277383012407,0.9201874587929222,0.9025003467784831,0.9094742760753444,0.9178606894594978,0.9136482383675775,0.8185781911246078
128,10,8,0.01,2,3,42,0.6,0.909814612868048,0.9215050992231508,0.915622542115564,0.9025003467784831,0.9215510812826249,0.8765782380479501,0.8985022538897776,0.8185781911246078
128,10,8,0.01,2,3,42,0.7,0.9281455792385925,0.8769559294576783,0.9018249280630016,0.9025003467784831,0.9337194337194337,0.8233792027237906,0.8750848096494535,0.8185781911246078
128,10,8,0.01,2,3,42,0.8,0.9497196992742601,0.8046095504583778,0.8711631985968269,0.9025003467784831,0.9477194880115377,0.7457795431976166,0.8347094315655764,0.8185781911246078
128,20,8,0.01,2,3,42,0.3,0.8545315341180975,0.9862302566179448,0.9156696520133999,0.9070366637211632,0.8864402385273529,0.970066676124273,0.9263699790015579,0.819156101924793
128,20,8,0.01,2,3,42,0.4,0.8751243121394948,0.9719450682964544,0.920997086887505,0.9070366637211632,0.8979536887452881,0.9462335082990495,0.9214616287904953,0.819156101924793
128,20,8,0.01,2,3,42,0.5,0.8935780450712014,0.9518427156584809,0.9217905977572959,0.9070366637211632,0.9086950414384043,0.9177188253653,0.913184641445511,0.819156101924793
128,20,8,0.01,2,3,42,0.6,0.9130323989807062,0.923419608998196,0.9181966282879683,0.9070366637211632,0.920832086201736,0.8728897715988083,0.8962202315927463,0.819156101924793
128,20,8,0.01,2,3,42,0.7,0.93116507886928,0.8780604543278966,0.9038333996551267,0.9070366637211632,0.9335376673657041,0.8209675131224287,0.873641304347826,0.819156101924793
128,20,8,0.01,2,3,42,0.8,0.9516059027777778,0.8072235926512279,0.8734885759247824,0.9070366637211632,0.9487968156323503,0.7439353099730458,0.833969465648855,0.819156101924793
128,50,8,0.01,2,3,42,0.3,0.8564312172691276,0.987445233975185,0.9172837183850061,0.9129153617022252,0.8877338877338877,0.9692154915590864,0.926687012546626,0.8207863841589713
128,50,8,0.01,2,3,42,0.4,0.8766528583264291,0.9739332130628474,0.9227361518068927,0.9129153617022252,0.8993939393939394,0.9473684210526315,0.9227580489152964,0.8207863841589713
128,50,8,0.01,2,3,42,0.5,0.8962773318571824,0.9537940429292,0.9241416213323821,0.9129153617022252,0.9097691441441441,0.9168676408001135,0.9133045997315057,0.8207863841589713
128,50,8,0.01,2,3,42,0.6,0.916016052535571,0.9244136813813925,0.9201957083432593,0.9129153617022252,0.9216272808854322,0.8741665484465881,0.8972697488168911,0.8207863841589713
128,50,8,0.01,2,3,42,0.7,0.9349841567891093,0.8799749641029417,0.9066459297473636,0.9129153617022252,0.9344921937872204,0.8236629309121861,0.8755843764138139,0.8207863841589713
128,50,8,0.01,2,3,42,0.8,0.9540683553088133,0.8098744523397519,0.8760778222514288,0.9129153617022252,0.9466570553252839,0.7452120868208256,0.8339418955389745,0.8207863841589713
256,0,8,0.01,2,3,42,0.3,0.8512649164677805,0.9849048267736829,0.9132215887754753,0.8989070774648513,0.8861841253398938,0.9709178606894595,0.9266179258055781,0.8181786133374374
256,0,8,0.01,2,3,42,0.4,0.869771737696266,0.9708037259305622,0.9175148320197645,0.8989070774648513,0.895889306824288,0.9460916442048517,0.9203063547919685,0.8181786133374374
256,0,8,0.01,2,3,42,0.5,0.8890493878112533,0.9517322631714591,0.9193235770044632,0.8989070774648513,0.9074463609591923,0.9180025535536955,0.9126939351198872,0.8181786133374374
256,0,8,0.01,2,3,42,0.6,0.9061665102173442,0.924082323920327,0.9150367305273519,0.8989070774648513,0.9194959229058562,0.8798411122144985,0.8992315499492533,0.8181786133374374
256,0,8,0.01,2,3,42,0.7,0.9250906006631198,0.8834358086962925,0.9037834987476223,0.8989070774648513,0.93315338202604,0.833735281600227,0.8806473364801078,0.8181786133374374
256,0,8,0.01,2,3,42,0.8,0.9475566663793846,0.8095799123743603,0.8731510711378482,0.8989070774648513,0.9462612692239702,0.7593984962406015,0.8425940500550921,0.8181786133374374
