#;Filename;FPS
167;LNOF_J23_4D;29.78
168;LNOF_J24_1D;19.76
169;LNOF_J24_2D;19.76
170;LNOF_J24_3D;19.76
171;LNOF_J24_4D;19.76
172;LNOF_J25_1D;19.76
173;LNOF_J25_2D;19.76
174;LNOF_J25_3D;19.76
175;LNOF_J25_4D;19.76
176;LNOF_J30_1D;29.78
177;LNOF_J30_2D;29.78
178;LNOF_J30_3D;29.78
179;LNOF_J30_4D;29.78
180;LNOF_J52_1D;29.78
181;LNOF_J52_2D;29.78
182;LNOF_J52_3D;29.78
183;LNOF_J52_4D;29.78
184;LNOF_J53_1D;19.76
185;LNOF_J53_2D;19.76
186;LNOF_J53_3D;19.76
187;LNOF_J53_4D;19.76
188;LNOF_J54_1D;29.78
189;LNOF_J54_2D;29.78
190;LNOF_J54_3D;29.78
191;LNOF_J54_4D;29.78
192;LNOF_J55_1D;19.76
193;LNOF_J55_2D;19.76
194;LNOF_J55_3D;19.76
195;LNOF_J55_4D;19.76
196;LNOF_J56_1D;29.78
197;LNOF_J56_2D;29.78
198;LNOF_J56_3D;29.78
199;LNOF_J56_4D;29.78
200;LNOF_J57_1D;29.78
201;LNOF_J57_2D;29.78
202;LNOF_J57_3D;29.78
203;LNOF_J57_4D;29.78
204;LNOF_J58_1D;19.76
205;LNOF_J58_2D;19.76
206;LNOF_J58_3D;19.76
207;LNOF_J58_4D;19.76
208;LNOF_J59_1D;29.78
209;LNOF_J59_2D;29.78
210;LNOF_J59_3D;29.78
211;LNOF_J59_4D;29.78
212;LNOF_J61_1D;19.76
213;LNOF_J61_2D;19.76
214;LNOF_J61_3D;19.76
215;LNOF_J61_4D;19.76
216;3DM_D14_1D;29.78
217;3DM_D14_2D;29.78
218;3DM_D14_3D;29.78
219;3DM_D14_4D;29.78
220;3DM_D14_5D;29.78
221;3DM_D14_6D;29.78
222;3DM_D14_7D;29.78
223;3DM_D17_1D;29.78
224;3DM_D17_2D;29.78
225;3DM_D17_3D;29.78
226;3DM_D17_4D;29.78
227;3DM_D17_5D;29.78
228;3DM_D17_6D;29.78
229;3DM_D17_7D;29.78
230;3DM_F26_1D;29.78
231;3DM_F26_2D;29.78
232;3DM_F26_3D;29.78
233;3DM_F26_4D;29.78
234;3DM_F26_5D;29.78
235;3DM_F26_6D;29.78
236;3DM_F26_7D;29.78
237;3DM_F28_1D;29.78
238;3DM_F28_2D;29.78
239;3DM_F28_3D;29.78
240;3DM_F28_4D;29.78
241;3DM_F28_5D;29.78
242;3DM_F28_6D;29.78
243;3DM_F28_7D;29.78
244;3DM_F29_1D;29.78
245;3DM_F29_2D;29.78
246;3DM_F29_3D;29.78
247;3DM_F29_4D;29.78
248;3DM_F29_5D;29.78
249;3DM_F29_6D;29.78
250;3DM_F29_7D;29.78
251;3DM_F30_1D;29.78
252;3DM_F30_2D;29.78
253;3DM_F30_3D;29.78
254;3DM_F30_4D;29.78
255;3DM_F30_5D;29.78
256;3DM_F30_6D;29.78
257;3DM_F30_7D;29.78
258;3DM_F31_1D;29.78
259;3DM_F31_2D;29.78
260;3DM_F31_3D;29.78
261;3DM_F31_4D;29.78
262;3DM_F31_5D;29.78
263;3DM_F31_6D;29.78
264;3DM_F31_7D;29.78
265;3DM_F35_1D;29.78
266;3DM_F35_2D;29.78
267;3DM_F35_3D;29.78
268;3DM_F35_4D;29.78
269;3DM_F35_5D;29.78
270;3DM_F35_6D;29.78
271;3DM_F35_7D;29.78
272;3DM_F36_1D;29.78
273;3DM_F36_2D;29.78
274;3DM_F36_3D;29.78
275;3DM_F36_4D;29.78
276;3DM_F36_5D;29.78
