max_bins,interactions,greedy_ratio,smoothing_rounds,min_samples_leaf,max_leaves,outer_bags,learning_rate,random_state,threshold,train_precision,train_recall,train_fbeta,train_auc,test_precision,test_recall,test_fbeta,test_auc,train_time_sec
256,0,0.0,0,2,3,8,0.01,42,0.3,0.863585078626331,0.991739887435721,0.8924150369365021,0.8923925546255816,0.8024502297090352,0.9914853358561968,0.8426130653266332,0.8841250012393048,25.644870281219482
256,0,0.0,0,2,3,8,0.01,42,0.4,0.8774072334429309,0.9832773211321213,0.9016783009059856,0.8923925546255816,0.8210229773747689,0.9803426889519605,0.8557926129846295,0.8841250012393048,25.644870281219482
256,0,0.0,0,2,3,8,0.01,42,0.5,0.8919655185281935,0.9678098554480301,0.9097898903775884,0.8923925546255816,0.8431264367816091,0.9638389572164406,0.8703782808866106,0.8841250012393048,25.644870281219482
256,0,0.0,0,2,3,8,0.01,42,0.6,0.9092645281989321,0.9446086569218933,0.9178502577015384,0.8923925546255816,0.8680921694981449,0.9346157889204246,0.8838191803971271,0.8841250012393048,25.644870281219482
256,0,0.0,0,2,3,8,0.01,42,0.7,0.9288232610228545,0.9067093169210836,0.9231942612137203,0.8923925546255816,0.8923125460090441,0.8919373488909913,0.8922187171398527,0.8841250012393048,25.644870281219482
256,0,0.0,0,2,3,8,0.01,42,0.8,0.9508030275059997,0.834190387496457,0.9186965585667941,0.8923925546255816,0.9180289031035299,0.8146746557342583,0.8898073997531502,0.8841250012393048,25.644870281219482
256,0,0.0,0,2,4,8,0.01,42,0.3,0.8640595246491289,0.992144794914362,0.8928769893687769,0.8933944187274836,0.802468085106383,0.9911699779249448,0.8425708732658669,0.8831461966671335,23.128401517868042
256,0,0.0,0,2,4,8,0.01,42,0.4,0.8770719728431621,0.9833987933757137,0.9014382481209985,0.8933944187274836,0.820267182281596,0.9810785241248817,0.8553165165990789,0.8831461966671335,23.128401517868042
256,0,0.0,0,2,4,8,0.01,42,0.5,0.8919634532910684,0.968457707413856,0.9099313309619372,0.8933944187274836,0.8415250344510795,0.9628928834226848,0.8689053310567254,0.8831461966671335,23.128401517868042
256,0,0.0,0,2,4,8,0.01,42,0.6,0.9092289128488575,0.9458233793578167,0.918109462513511,0.8933944187274836,0.8660827250608273,0.9354567434037633,0.8824433536615597,0.8831461966671335,23.128401517868042
256,0,0.0,0,2,4,8,0.01,42,0.7,0.9286454662299432,0.9069117706604041,0.9231149669256291,0.8933944187274836,0.8913020669394607,0.8929885419951645,0.8917230882275756,0.8831461966671335,23.128401517868042
